epochs,test loss,train loss,test acc,train acc
1.0,2.7617557048797607,2.7613227367401123,0.07854984894259819,0.08362068965517241
2.0,2.7505998611450195,2.750067949295044,0.16314199395770393,0.16637931034482759
3.0,2.7377877235412598,2.73714017868042,0.3081570996978852,0.3163793103448276
4.0,2.722919464111328,2.722136974334717,0.6314199395770392,0.6336206896551724
5.0,2.7055606842041016,2.7046196460723877,0.6344410876132931,0.6448275862068965
6.0,2.6852400302886963,2.6841139793395996,0.7129909365558912,0.7172413793103448
7.0,2.6614787578582764,2.6601364612579346,0.8670694864048338,0.8767241379310344
8.0,2.6338517665863037,2.632253408432007,0.9395770392749244,0.9672413793103448
9.0,2.60208797454834,2.6001803874969482,0.9425981873111783,0.9706896551724138
10.0,2.5661990642547607,2.563906192779541,0.945619335347432,0.9724137931034482
11.0,2.5265750885009766,2.5237925052642822,0.9486404833836858,0.9741379310344828
12.0,2.4840283393859863,2.4806203842163086,0.9546827794561934,0.9758620689655172
13.0,2.4397308826446533,2.4355478286743164,0.9577039274924471,0.9775862068965517
14.0,2.3950483798980713,2.389968156814575,0.9577039274924471,0.9793103448275862
15.0,2.3512961864471436,2.3452699184417725,0.9607250755287009,0.9775862068965517
16.0,2.30952525138855,2.3025946617126465,0.9637462235649547,0.978448275862069
17.0,2.27040433883667,2.262681007385254,0.9637462235649547,0.978448275862069
18.0,2.2342476844787598,2.225874185562134,0.9637462235649547,0.978448275862069
19.0,2.2011523246765137,2.1922667026519775,0.9637462235649547,0.978448275862069
20.0,2.1711337566375732,2.1618480682373047,0.9637462235649547,0.978448275862069
21.0,2.1441891193389893,2.134582042694092,0.9637462235649547,0.978448275862069
22.0,2.120266914367676,2.110384702682495,0.9637462235649547,0.978448275862069
23.0,2.099215030670166,2.089085817337036,0.9637462235649547,0.978448275862069
24.0,2.0807881355285645,2.0704305171966553,0.9637462235649547,0.9793103448275862
25.0,2.0646941661834717,2.054124355316162,0.9637462235649547,0.9793103448275862
26.0,2.0506370067596436,2.0398712158203125,0.9637462235649547,0.9793103448275862
27.0,2.038339376449585,2.0273923873901367,0.9637462235649547,0.9793103448275862
28.0,2.027552843093872,2.016439199447632,0.9637462235649547,0.9793103448275862
29.0,2.0180602073669434,2.0067930221557617,0.9637462235649547,0.9801724137931035
30.0,2.009676218032837,1.9982670545578003,0.9637462235649547,0.9801724137931035
31.0,2.002241611480713,1.9907009601593018,0.9637462235649547,0.9801724137931035
32.0,1.9956231117248535,1.9839597940444946,0.9637462235649547,0.9801724137931035
33.0,1.9897072315216064,1.9779294729232788,0.9637462235649547,0.9801724137931035
34.0,1.9843988418579102,1.97251296043396,0.9637462235649547,0.9801724137931035
35.0,1.9796172380447388,1.967629075050354,0.9637462235649547,0.9801724137931035
36.0,1.975294589996338,1.9632095098495483,0.9637462235649547,0.9801724137931035
37.0,1.9713728427886963,1.9591952562332153,0.9637462235649547,0.9801724137931035
38.0,1.9678031206130981,1.9555364847183228,0.9637462235649547,0.9801724137931035
39.0,1.964543342590332,1.9521913528442383,0.9637462235649547,0.9801724137931035
40.0,1.961557388305664,1.9491231441497803,0.9637462235649547,0.9801724137931035
41.0,1.9588147401809692,1.9463011026382446,0.9637462235649547,0.9801724137931035
42.0,1.9562886953353882,1.9436973333358765,0.9637462235649547,0.9801724137931035
43.0,1.953955888748169,1.9412891864776611,0.9637462235649547,0.9801724137931035
44.0,1.951796293258667,1.939056158065796,0.9637462235649547,0.9801724137931035
45.0,1.9497923851013184,1.9369806051254272,0.9637462235649547,0.9801724137931035
46.0,1.94792902469635,1.9350470304489136,0.9637462235649547,0.9801724137931035
47.0,1.9461922645568848,1.9332414865493774,0.9637462235649547,0.9801724137931035
